received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,topics_list,topics_count,topic_A1,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-06-29T16:29:33.204000,orange,reg,RING,2013-06-29T16:29:55,30,M,1,HIPPODROME,91092361,village,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-27T16:00:50.734000,malitel,reg,RING,2013-06-28T15:27:08,62,U,3,HAMDALLAYE,91094223,village,E1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28T14:25:42.521000,orange,reg,RING,2013-07-28T15:21:55,53,F,2,SANANFARA,25091811,village,E1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T09:49:37.525000,orange,abba,RING,2013-06-27T18:03:19,,M,0,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T09:54:59.561000,orange,abba,RING,2013-07-26T18:29:42,,M,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T09:55:19.321000,orange,abba,RING,2013-07-26T19:03:38,,U,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T09:55:34.361000,malitel,abba,RING,2013-07-26T18:29:55,,U,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T13:35:45.763000,orange,abba,SMS_HOTLINE,2013-07-26T15:12:19,,U,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T13:34:55.923000,malitel,abba,RING,2013-07-26T18:26:48,,U,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T13:35:09.281000,orange,abba,RING,2013-07-26T18:26:41,,U,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T14:05:22.001000,orange,abba,RING,2013-07-26T18:20:50,,M,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T15:53:32.761000,orange,abba,RING,2013-07-26T19:11:12,,F,2,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T18:48:30.961000,malitel,abba,RING,2013-07-26T19:00:04,,M,1,DISTRICT DE BAMAKO,91000000,cercle,"E1, F9",2,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-06-29T10:21:58,orange,abba,RING,2013-07-26T14:00:38,,M,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29T10:22:37,orange,abba,RING,2013-07-29T14:00:56,,M,1,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26T14:33:12,foreign,reg,RING,2013-06-26T19:33:00,,F,0,HORS DU MALI,99999999,region,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-08T09:44:20,orange,abba,RING,2013-07-08T09:44:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-08T10:52:49.113000,orange,abba,RING,2013-07-08T10:52:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
